country,country_code_2_digit,country_code_3_digit,population,age_group_0_14,age_group_15_24,age_group_25_49,age_group_50_64,age_group_65_79,age_group_80_max
Albania,AL,ALB,2862427,17.20,15.50,33.00,20.20,11.40,2.70
Andorra,AD,AND,76177,13.90,10.60,39.40,22.50,10.20,3.40
Armenia,AM,ARM,2963234,20.20,11.80,36.90,19.10,9.00,3.00
Austria,AT,AUT,8858775,14.40,10.90,34.00,21.70,13.80,5.00
Azerbaijan,AZ,AZE,10139175,22.40,14.10,39.10,17.60,5.30,1.50
Belarus,BY,BLR,9449321,16.90,9.90,36.60,21.30,11.30,3.90
Belgium,BE,BEL,11455519,16.90,11.40,32.70,20.10,13.30,5.60
Bulgaria,BG,BGR,7000039,14.40,8.90,35.00,20.40,16.50,4.80
Croatia,HR,HRV,4076246,14.40,10.90,32.50,21.60,15.20,5.30
Cyprus,CY,CYP,875899,16.10,12.80,37.10,17.90,12.50,3.70
Czechia,CZ,CZE,10649800,15.90,9.10,36.70,18.80,15.50,4.10
Denmark,DK,DNK,5806081,16.50,12.60,31.70,19.60,15.00,4.50
Estonia,EE,EST,1324820,16.40,9.50,34.90,19.40,14.10,5.60
Finland,FI,FIN,5517919,16.00,11.20,31.20,19.90,16.30,5.50
France,FR,FRA,67012883,18.00,11.70,31.00,19.20,14.00,6.10
Georgia,GE,GEO,3989175,20.30,11.50,33.90,19.50,11.40,3.50
Germany,DE,DEU,83019213,13.60,10.40,31.60,22.80,15.10,6.50
Greece,EL,GRC,10724599,14.30,10.20,33.10,20.30,14.90,7.10
Hungary,HU,HUN,9772756,14.50,10.70,35.80,19.60,14.90,4.40
Iceland,IS,ISL,356991,19.00,13.40,35.50,17.90,10.70,3.50
Ireland,IE,IRL,4904240,20.50,12.60,35.60,17.20,10.80,3.30
Italy,IT,ITA,60359546,13.20,9.80,32.40,21.90,15.70,7.20
Latvia,LV,LVA,1919968,15.90,9.20,33.80,20.90,14.70,5.60
Liechtenstein,LI,LIE,38378,14.70,10.90,33.30,23.20,14.10,3.80
Lithuania,LT,LTU,2794184,15.10,10.50,32.70,21.90,14.00,5.80
Luxembourg,LU,LUX,613894,16.10,11.60,38.20,19.80,10.40,4.00
Malta,MT,MLT,493559,13.70,11.00,38.50,18.20,14.50,4.20
Moldova,MD,MDA,4033963,"","","","","",""
Montenegro,ME,MNE,622182,18.00,13.00,34.20,19.80,11.90,3.30
Netherlands,NL,NLD,17282163,15.90,12.30,31.80,20.90,14.60,4.60
North Macedonia,MK,MKD,2077132,16.40,12.40,37.50,19.70,11.50,2.50
Norway,NO,NOR,5328212,17.50,12.40,34.10,18.70,13.00,4.20
Poland,PL,POL,37972812,15.40,10.30,37.00,19.70,13.30,4.40
Portugal,PT,PRT,10276617,13.70,10.60,32.90,20.90,15.40,6.40
Romania,RO,ROU,19414458,15.70,10.60,35.60,19.70,13.90,4.70
Russia,RU,RUS,145934460,"","","","","",""
San Marino,SM,SMR,34453,"","","","","",""
Serbia,RS,SRB,6963764,14.30,10.50,33.80,20.90,15.80,4.60
Slovakia,SK,SVK,5450421,15.70,10.40,38.10,19.70,12.70,3.30
Slovenia,SI,SVN,2080908,15.10,9.40,34.10,21.60,14.50,5.30
Spain,ES,ESP,46937060,14.80,9.80,35.30,20.70,13.30,6.10
Sweden,SE,SWE,10230185,17.80,11.30,32.90,18.10,14.80,5.10
Switzerland,CH,CHE,8544527,15.00,10.60,35.00,20.90,13.30,5.20
Turkey,TR,TUR,82003882,23.40,15.80,37.00,15.00,7.00,1.80
Ukraine,UA,UKR,43733759,15.40,9.60,37.60,20.60,12.50,4.30
United Kingdom,UK,GBR,66647112,17.90,11.80,32.80,19.10,13.40,5.00
